week,team,opponent,home_away,goals,goals_conceded,xg,xg_conceded,home,away,home_goals,away_goals,home_xg,away_xg,score,result,points,adj_goals,xg_result,xg_points,xg_diff,cumulative_points,cumulative_xg_points,cumulative_xg_diff,points_vs_xg_points,cumulative_xg_goals,cumulative_xg_conceded,xg_goal_diff,position,xg_score,result_changed
1,Arsenal,Wolves,Home,2,0,1.2,0.5,Arsenal,Wolves,2,0,1.2,0.5,      2-0,Win,3,2,Win,3,0.8,3,3,0.8,0,1.2,0.5,0.7,2,      2-0,0
2,Arsenal,Aston Villa,Away,2,0,0.9,1.2,Aston Villa,Arsenal,0,2,1.2,0.9,      0-2,Win,3,2,Win,3,1.1,6,6,1.9000000000000001,0,2.1,1.7,0.40000000000000013,3,      0-2,0
3,Arsenal,Brighton,Home,1,1,2.1,1.7,Arsenal,Brighton,1,1,2.1,1.7,      1-1,Draw,1,2,Win,3,-1.1,7,9,0.8,-2,4.2,3.4,0.8000000000000003,4,      2-1,1
4,Arsenal,Tottenham,Away,1,0,0.7,0.7,Tottenham,Arsenal,0,1,0.7,0.7,      0-1,Win,3,1,Win,3,0.30000000000000004,10,12,1.1,-2,4.9,4.1,0.8000000000000007,2,      0-1,0
5,Arsenal,Manchester City,Away,2,2,0.7,2.1,Manchester City,Arsenal,2,2,2.1,0.7,      2-2,Draw,1,2,Draw,1,1.3,11,13,2.4000000000000004,-2,5.6,6.2,-0.6,4,      2-2,0
6,Arsenal,Leicester City,Home,4,2,4.4,0.3,Arsenal,Leicester City,4,2,4.4,0.3,      4-2,Win,3,4,Win,3,-0.4,14,16,1.9999999999999998,-2,10,6.5,3.5,3,      4-2,0
7,Arsenal,Southampton,Home,3,1,2.8,0.6,Arsenal,Southampton,3,1,2.8,0.6,      3-1,Win,3,3,Win,3,0.20000000000000018,17,19,2.2,-2,12.8,7.1,5.700000000000001,3,      3-1,0
8,Arsenal,Bournemouth,Away,0,2,0.7,1.8,Bournemouth,Arsenal,2,0,1.8,0.7,      2-0,Loss,0,1,Loss,0,-0.7,17,19,1.5,-2,13.5,8.9,4.6,3,      2-1,0
9,Arsenal,Liverpool,Home,2,2,0.9,0.8,Arsenal,Liverpool,2,2,0.9,0.8,      2-2,Draw,1,2,Draw,1,1.1,18,20,2.6,-2,14.4,9.7,4.700000000000001,3,      2-2,0
10,Arsenal,Newcastle Utd,Away,0,1,1.1,0.5,Newcastle Utd,Arsenal,1,0,0.5,1.1,      1-0,Loss,0,1,Draw,1,-1.1,18,21,1.5,-3,15.5,10.2,5.300000000000001,5,      1-1,1
11,Arsenal,Chelsea,Away,1,1,1.5,1.5,Chelsea,Arsenal,1,1,1.5,1.5,      1-1,Draw,1,2,Win,3,-0.5,19,24,1,-5,17,11.7,5.300000000000001,4,      1-2,1
12,Arsenal,Forest,Home,3,0,1.2,0.3,Arsenal,Forest,3,0,1.2,0.3,      3-0,Win,3,3,Win,3,1.8,22,27,2.8,-5,18.2,12,6.199999999999999,4,      3-0,0
13,Arsenal,West Ham,Away,5,2,3.5,1.5,West Ham,Arsenal,2,5,1.5,3.5,      2-5,Win,3,5,Win,3,1.5,25,30,4.3,-5,21.7,13.5,8.2,2,      2-5,0
14,Arsenal,Manchester Utd,Home,2,0,2.1,0.2,Arsenal,Manchester Utd,2,0,2.1,0.2,      2-0,Win,3,2,Win,3,-0.1,28,33,4.2,-5,23.8,13.700000000000001,10.1,3,      2-0,0
15,Arsenal,Fulham,Away,1,1,1.8,0.2,Fulham,Arsenal,1,1,0.2,1.8,      1-1,Draw,1,2,Win,3,-0.8,29,36,3.4,-7,25.6,13.9,11.700000000000001,3,      1-2,1
16,Arsenal,Everton,Home,0,0,1.2,0.1,Arsenal,Everton,0,0,1.2,0.1,      0-0,Draw,1,1,Win,3,-1.2,30,39,2.2,-9,26.8,14,12.8,3,      1-0,1
17,Arsenal,Crystal Palace,Away,5,1,2.5,1.6,Crystal Palace,Arsenal,1,5,1.6,2.5,      1-5,Win,3,5,Win,3,2.5,33,42,4.7,-9,29.3,15.6,13.700000000000001,3,      1-5,0
18,Arsenal,Ipswich Town,Home,1,0,1.8,0.2,Arsenal,Ipswich Town,1,0,1.8,0.2,      1-0,Win,3,2,Win,3,-0.8,36,45,3.9000000000000004,-9,31.1,15.8,15.3,2,      2-0,0
19,Arsenal,Brentford,Away,3,1,1.9,0.3,Brentford,Arsenal,1,3,0.3,1.9,      1-3,Win,3,3,Win,3,1.1,39,48,5,-9,33,16.1,16.9,2,      1-3,0
20,Arsenal,Brighton,Away,1,1,0.9,1.5,Brighton,Arsenal,1,1,1.5,0.9,      1-1,Draw,1,1,Draw,1,0.1,40,49,5.1000000000000005,-9,33.9,17.6,16.299999999999997,2,      1-1,0
21,Arsenal,Tottenham,Home,2,1,1.4,0.8,Arsenal,Tottenham,2,1,1.4,0.8,      2-1,Win,3,2,Win,3,0.6000000000000001,43,52,5.7,-9,35.3,18.4,16.9,2,      2-1,0
22,Arsenal,Aston Villa,Home,2,2,1.3,1,Arsenal,Aston Villa,2,2,1.3,1,      2-2,Draw,1,2,Draw,1,0.7,44,53,6.4,-9,36.6,19.4,17.200000000000003,2,      2-2,0
23,Arsenal,Wolves,Away,1,0,1,0.7,Wolves,Arsenal,0,1,0.7,1,      0-1,Win,3,1,Win,3,0,47,56,6.4,-9,37.6,20.1,17.5,2,      0-1,0
24,Arsenal,Manchester City,Home,5,1,1,0.8,Arsenal,Manchester City,5,1,1,0.8,      5-1,Win,3,5,Win,3,4,50,59,10.4,-9,38.6,20.9,17.700000000000003,2,      5-1,0
25,Arsenal,Leicester City,Away,2,0,1.4,0.2,Leicester City,Arsenal,0,2,0.2,1.4,      0-2,Win,3,2,Win,3,0.6000000000000001,53,62,11,-9,40,21.1,18.9,2,      0-2,0
26,Arsenal,West Ham,Home,0,1,1.2,1.1,Arsenal,West Ham,0,1,1.2,1.1,      0-1,Loss,0,1,Draw,1,-1.2,53,63,9.8,-10,41.2,22.2,19.000000000000004,2,      1-1,1
27,Arsenal,Forest,Away,0,0,1,0.4,Forest,Arsenal,0,0,0.4,1,      0-0,Draw,1,1,Win,3,-1,54,66,8.8,-12,42.2,22.6,19.6,2,      0-1,1
28,Arsenal,Manchester Utd,Away,1,1,1.6,1.5,Manchester Utd,Arsenal,1,1,1.5,1.6,      1-1,Draw,1,2,Win,3,-0.6,55,69,8.200000000000001,-14,43.8,24.1,19.699999999999996,2,      1-2,1
29,Arsenal,Chelsea,Home,1,0,0.7,0.4,Arsenal,Chelsea,1,0,0.7,0.4,      1-0,Win,3,1,Win,3,0.30000000000000004,58,72,8.5,-14,44.5,24.5,20,2,      1-0,0
30,Arsenal,Fulham,Home,2,1,2.2,1,Arsenal,Fulham,2,1,2.2,1,      2-1,Win,3,2,Win,3,-0.2,61,75,8.3,-14,46.7,25.5,21.200000000000003,2,      2-1,0
31,Arsenal,Everton,Away,1,1,1.8,1.1,Everton,Arsenal,1,1,1.1,1.8,      1-1,Draw,1,2,Win,3,-0.8,62,78,7.5,-16,48.5,26.6,21.9,2,      1-2,1
32,Arsenal,Brentford,Home,1,1,1,0.2,Arsenal,Brentford,1,1,1,0.2,      1-1,Draw,1,1,Draw,1,0,63,79,7.5,-16,49.5,26.8,22.7,2,      1-1,0
33,Arsenal,Ipswich Town,Away,4,0,2.4,0.2,Ipswich Town,Arsenal,0,4,0.2,2.4,      0-4,Win,3,4,Win,3,1.6,66,82,9.1,-16,51.9,27,24.9,2,      0-4,0
34,Arsenal,Crystal Palace,Home,2,2,1.2,1.7,Arsenal,Crystal Palace,2,2,1.2,1.7,      2-2,Draw,1,2,Draw,1,0.8,67,83,9.9,-16,53.1,28.7,24.400000000000002,2,      2-2,0
35,Arsenal,Bournemouth,Home,1,2,1.4,0.9,Arsenal,Bournemouth,1,2,1.4,0.9,      1-2,Loss,0,1,Loss,0,-0.4,67,83,9.5,-16,54.5,29.6,24.9,2,      1-2,0
36,Arsenal,Liverpool,Away,2,2,2.6,2.4,Liverpool,Arsenal,2,2,2.4,2.6,      2-2,Draw,1,3,Win,3,-0.6,68,86,8.9,-18,57.1,32,25.1,2,      2-3,1
37,Arsenal,Newcastle Utd,Home,1,0,0.6,1.5,Arsenal,Newcastle Utd,1,0,0.6,1.5,      1-0,Win,3,1,Win,3,0.4,71,89,9.3,-18,57.7,33.5,24.200000000000003,2,      1-0,0
38,Arsenal,Southampton,Away,2,1,2.3,0.6,Southampton,Arsenal,1,2,0.6,2.3,      1-2,Win,3,2,Win,3,-0.3,74,92,9,-18,60,34.1,25.9,2,      1-2,0
1,Aston Villa,West Ham,Away,2,1,2,2.3,West Ham,Aston Villa,1,2,2.3,2,      1-2,Win,3,2,Win,3,0,3,3,0,0,2,2.3,-0.3,5,      1-2,0
2,Aston Villa,Arsenal,Home,0,2,1.2,0.9,Aston Villa,Arsenal,0,2,1.2,0.9,      0-2,Loss,0,1,Loss,0,-1.2,3,3,-1.2,0,3.2,3.1999999999999997,4.440892098500626e-16,12,      1-2,0
3,Aston Villa,Leicester City,Away,2,1,1.4,0.4,Leicester City,Aston Villa,1,2,0.4,1.4,      1-2,Win,3,2,Win,3,0.6000000000000001,6,6,-0.6,0,4.6,3.5999999999999996,1,7,      1-2,0
4,Aston Villa,Everton,Home,3,2,2.1,0.9,Aston Villa,Everton,3,2,2.1,0.9,      3-2,Win,3,3,Win,3,0.8999999999999999,9,9,0.30000000000000004,0,6.7,4.5,2.2,5,      3-2,0
5,Aston Villa,Wolves,Home,3,1,1.7,0.5,Aston Villa,Wolves,3,1,1.7,0.5,      3-1,Win,3,3,Win,3,1.3,12,12,1.6,0,8.4,5,3.4000000000000004,3,      3-1,0
6,Aston Villa,Ipswich Town,Away,2,2,0.8,1.2,Ipswich Town,Aston Villa,2,2,1.2,0.8,      2-2,Draw,1,2,Draw,1,1.2,13,13,2.8,0,9.2,6.199999999999999,3,5,      2-2,0
7,Aston Villa,Manchester Utd,Home,0,0,0.5,0.6,Aston Villa,Manchester Utd,0,0,0.5,0.6,      0-0,Draw,1,1,Win,3,-0.5,14,16,2.3,-2,9.7,6.8,2.8999999999999995,5,      1-0,1
8,Aston Villa,Fulham,Away,3,1,1.6,1.8,Fulham,Aston Villa,1,3,1.8,1.6,      1-3,Win,3,3,Win,3,1.4,17,19,3.7,-2,11.3,8.6,2.700000000000001,4,      1-3,0
9,Aston Villa,Bournemouth,Home,1,1,1.8,0.3,Aston Villa,Bournemouth,1,1,1.8,0.3,      1-1,Draw,1,2,Win,3,-0.8,18,22,2.9,-4,13.1,8.9,4.199999999999999,4,      2-1,1
10,Aston Villa,Tottenham,Away,1,4,1.8,2.4,Tottenham,Aston Villa,4,1,2.4,1.8,      4-1,Loss,0,2,Loss,0,-0.8,18,22,2.0999999999999996,-4,14.9,11.299999999999999,3.6000000000000014,6,      4-2,0
11,Aston Villa,Liverpool,Away,0,2,1.2,2,Liverpool,Aston Villa,2,0,2,1.2,      2-0,Loss,0,1,Loss,0,-1.2,18,22,0.8999999999999999,-4,16.1,13.299999999999999,2.8000000000000025,9,      2-1,0
12,Aston Villa,Crystal Palace,Home,2,2,3,1.3,Aston Villa,Crystal Palace,2,2,3,1.3,      2-2,Draw,1,3,Win,3,-1,19,25,-0.1,-6,19.1,14.6,4.500000000000002,8,      3-2,1
13,Aston Villa,Chelsea,Away,0,3,1.2,1.6,Chelsea,Aston Villa,3,0,1.6,1.2,      3-0,Loss,0,1,Loss,0,-1.2,19,25,-1.3,-6,20.3,16.2,4.100000000000001,12,      3-1,0
14,Aston Villa,Brentford,Home,3,1,2.4,0.9,Aston Villa,Brentford,3,1,2.4,0.9,      3-1,Win,3,3,Win,3,0.6000000000000001,22,28,-0.7,-6,22.7,17.099999999999998,5.600000000000001,8,      3-1,0
15,Aston Villa,Southampton,Home,1,0,2.3,0.3,Aston Villa,Southampton,1,0,2.3,0.3,      1-0,Win,3,2,Win,3,-1.3,25,31,-2,-6,25,17.4,7.600000000000001,6,      2-0,0
16,Aston Villa,Forest,Away,1,2,0.4,1.7,Forest,Aston Villa,2,1,1.7,0.4,      2-1,Loss,0,1,Loss,0,0.6,25,31,-1.4,-6,25.4,19.099999999999998,6.300000000000001,7,      2-1,0
17,Aston Villa,Manchester City,Home,2,1,1.6,1,Aston Villa,Manchester City,2,1,1.6,1,      2-1,Win,3,2,Win,3,0.3999999999999999,28,34,-1,-6,27,20.099999999999998,6.900000000000002,6,      2-1,0
18,Aston Villa,Newcastle Utd,Away,0,3,0.3,2.7,Newcastle Utd,Aston Villa,3,0,2.7,0.3,      3-0,Loss,0,0,Loss,0,-0.3,28,34,-1.3,-6,27.3,22.8,4.5,9,      3-0,0
19,Aston Villa,Brighton,Home,2,2,1.8,1.1,Aston Villa,Brighton,2,2,1.8,1.1,      2-2,Draw,1,2,Draw,1,0.19999999999999996,29,35,-1.1,-6,29.1,23.9,5.200000000000003,9,      2-2,0
20,Aston Villa,Leicester City,Home,2,1,1.4,0.4,Aston Villa,Leicester City,2,1,1.4,0.4,      2-1,Win,3,2,Win,3,0.6000000000000001,32,38,-0.5,-6,30.5,24.3,6.199999999999999,8,      2-1,0
21,Aston Villa,Everton,Away,1,0,1.2,1.1,Everton,Aston Villa,0,1,1.1,1.2,      0-1,Win,3,1,Win,3,-0.2,35,41,-0.7,-6,31.7,25.4,6.300000000000001,7,      0-1,0
22,Aston Villa,Arsenal,Away,2,2,1,1.3,Arsenal,Aston Villa,2,2,1.3,1,      2-2,Draw,1,2,Draw,1,1,36,42,0.30000000000000027,-6,32.7,26.7,6.0000000000000036,8,      2-2,0
23,Aston Villa,West Ham,Home,1,1,0.9,1.3,Aston Villa,West Ham,1,1,0.9,1.3,      1-1,Draw,1,1,Draw,1,0.1,37,43,0.40000000000000024,-6,33.6,28,5.600000000000001,8,      1-1,0
24,Aston Villa,Wolves,Away,0,2,0.4,1.6,Wolves,Aston Villa,2,0,1.6,0.4,      2-0,Loss,0,0,Loss,0,-0.4,37,43,2.220446049250313e-16,-6,34,29.6,4.399999999999999,8,      2-0,0
25,Aston Villa,Ipswich Town,Home,1,1,2.4,0.4,Aston Villa,Ipswich Town,1,1,2.4,0.4,      1-1,Draw,1,2,Win,3,-1.4,38,46,-1.4,-8,36.4,30,6.399999999999999,9,      2-1,1
26,Aston Villa,Chelsea,Home,2,1,2.3,2.3,Aston Villa,Chelsea,2,1,2.3,2.3,      2-1,Win,3,2,Win,3,-0.3,41,49,-1.7,-8,38.7,32.3,6.400000000000006,8,      2-1,0
27,Aston Villa,Crystal Palace,Away,1,4,0.4,4.3,Crystal Palace,Aston Villa,4,1,4.3,0.4,      4-1,Loss,0,1,Loss,0,0.6,41,49,-1.1,-8,39.1,36.6,2.5,10,      4-1,0
28,Aston Villa,Brentford,Away,1,0,1.3,0.8,Brentford,Aston Villa,0,1,0.8,1.3,      0-1,Win,3,1,Win,3,-0.3,44,52,-1.4,-8,40.4,37.4,3,9,      0-1,0
29,Aston Villa,Liverpool,Home,2,2,0.6,2.5,Aston Villa,Liverpool,2,2,0.6,2.5,      2-2,Draw,1,2,Draw,1,1.4,45,53,4.440892098500626e-16,-8,41,39.9,1.1000000000000014,9,      2-2,0
30,Aston Villa,Brighton,Away,3,0,1.2,0.9,Brighton,Aston Villa,0,3,0.9,1.2,      0-3,Win,3,3,Win,3,1.8,48,56,1.8000000000000005,-8,42.2,40.8,1.4000000000000057,7,      0-3,0
31,Aston Villa,Forest,Home,2,1,3,1.5,Aston Villa,Forest,2,1,3,1.5,      2-1,Win,3,3,Win,3,-1,51,59,0.8000000000000005,-8,45.2,42.3,2.9000000000000057,7,      3-1,0
32,Aston Villa,Southampton,Away,3,0,3,0.3,Southampton,Aston Villa,0,3,0.3,3,      0-3,Win,3,3,Win,3,0,54,62,0.8000000000000005,-8,48.2,42.6,5.600000000000001,7,      0-3,0
33,Aston Villa,Newcastle Utd,Home,4,1,2.2,1,Aston Villa,Newcastle Utd,4,1,2.2,1,      4-1,Win,3,4,Win,3,1.7999999999999998,57,65,2.6000000000000005,-8,50.4,43.6,6.799999999999997,7,      4-1,0
34,Aston Villa,Manchester City,Away,1,2,1.8,1.3,Manchester City,Aston Villa,2,1,1.3,1.8,      2-1,Loss,0,2,Draw,1,-0.8,57,66,1.8000000000000003,-9,52.2,44.9,7.300000000000004,7,      2-2,1
35,Aston Villa,Fulham,Home,1,0,1,0.9,Aston Villa,Fulham,1,0,1,0.9,      1-0,Win,3,1,Win,3,0,60,69,1.8000000000000003,-9,53.2,45.8,7.400000000000006,7,      1-0,0
36,Aston Villa,Bournemouth,Away,1,0,1,0.8,Bournemouth,Aston Villa,0,1,0.8,1,      0-1,Win,3,1,Win,3,0,63,72,1.8000000000000003,-9,54.2,46.6,7.600000000000001,6,      0-1,0
37,Aston Villa,Tottenham,Home,2,0,1.4,0.5,Aston Villa,Tottenham,2,0,1.4,0.5,      2-0,Win,3,2,Win,3,0.6000000000000001,66,75,2.4000000000000004,-9,55.6,47.1,8.5,6,      2-0,0
38,Aston Villa,Manchester Utd,Away,0,2,0.4,2.9,Manchester Utd,Aston Villa,2,0,2.9,0.4,      2-0,Loss,0,0,Loss,0,-0.4,66,75,2.0000000000000004,-9,56,50,6,6,      2-0,0
1,Bournemouth,Forest,Away,1,1,1.2,1.3,Forest,Bournemouth,1,1,1.3,1.2,      1-1,Draw,1,1,Draw,1,-0.2,1,1,-0.2,0,1.2,1.3,-0.1,9,      1-1,0
2,Bournemouth,Newcastle Utd,Home,1,1,2.2,1.6,Bournemouth,Newcastle Utd,1,1,2.2,1.6,      1-1,Draw,1,2,Win,3,-1.2,2,4,-1.4,-2,3.4000000000000004,2.9000000000000004,0.5,14,      2-1,1
3,Bournemouth,Everton,Away,3,2,2.4,1.8,Everton,Bournemouth,2,3,1.8,2.4,      2-3,Win,3,3,Win,3,0.6000000000000001,5,7,-0.8,-2,5.800000000000001,4.7,1.1000000000000005,8,      2-3,0
4,Bournemouth,Chelsea,Home,0,1,1.7,0.8,Bournemouth,Chelsea,0,1,1.7,0.8,      0-1,Loss,0,2,Win,3,-1.7,5,10,-2.5,-5,7.5,5.5,2,11,      2-1,1
5,Bournemouth,Liverpool,Away,0,3,1.1,2,Liverpool,Bournemouth,3,0,2,1.1,      3-0,Loss,0,1,Loss,0,-1.1,5,10,-3.6,-5,8.6,7.5,1.0999999999999996,13,      3-1,0
6,Bournemouth,Southampton,Home,3,1,1.3,0.6,Bournemouth,Southampton,3,1,1.3,0.6,      3-1,Win,3,3,Win,3,1.7,8,13,-1.9,-5,9.9,8.1,1.8000000000000007,11,      3-1,0
7,Bournemouth,Leicester City,Away,0,1,2.1,0.8,Leicester City,Bournemouth,1,0,0.8,2.1,      1-0,Loss,0,2,Win,3,-2.1,8,16,-4,-8,12,8.9,3.0999999999999996,13,      1-2,1
8,Bournemouth,Arsenal,Home,2,0,1.8,0.7,Bournemouth,Arsenal,2,0,1.8,0.7,      2-0,Win,3,2,Win,3,0.19999999999999996,11,19,-3.8,-8,13.8,9.6,4.200000000000001,11,      2-0,0
9,Bournemouth,Aston Villa,Away,1,1,0.3,1.8,Aston Villa,Bournemouth,1,1,1.8,0.3,      1-1,Draw,1,1,Draw,1,0.7,12,20,-3.1,-8,14.1,11.4,2.6999999999999993,11,      1-1,0
10,Bournemouth,Manchester City,Home,2,1,2,1.6,Bournemouth,Manchester City,2,1,2,1.6,      2-1,Win,3,2,Win,3,0,15,23,-3.1,-8,16.1,13,3.1000000000000014,10,      2-1,0
11,Bournemouth,Brentford,Away,2,3,2.6,1.5,Brentford,Bournemouth,3,2,1.5,2.6,      3-2,Loss,0,3,Draw,1,-0.6,15,24,-3.7,-9,18.7,14.5,4.199999999999999,12,      3-3,1
12,Bournemouth,Brighton,Home,1,2,1.6,0.9,Bournemouth,Brighton,1,2,1.6,0.9,      1-2,Loss,0,2,Draw,1,-0.6,15,25,-4.3,-10,20.3,15.4,4.9,13,      2-2,1
13,Bournemouth,Wolves,Away,4,2,3.3,0.5,Wolves,Bournemouth,2,4,0.5,3.3,      2-4,Win,3,4,Win,3,0.7000000000000002,18,28,-3.6,-10,23.6,15.9,7.700000000000001,13,      2-4,0
14,Bournemouth,Tottenham,Home,1,0,3.5,0.9,Bournemouth,Tottenham,1,0,3.5,0.9,      1-0,Win,3,4,Win,3,-2.5,21,31,-6.1,-10,27.1,16.8,10.3,9,      4-0,0
15,Bournemouth,Ipswich Town,Away,2,1,3.2,1.3,Ipswich Town,Bournemouth,1,2,1.3,3.2,      1-2,Win,3,3,Win,3,-1.2,24,34,-7.3,-10,30.3,18.1,12.2,8,      1-3,0
16,Bournemouth,West Ham,Home,1,1,1.9,2.1,Bournemouth,West Ham,1,1,1.9,2.1,      1-1,Draw,1,2,Win,3,-0.9,25,37,-8.2,-12,32.2,20.2,12.000000000000004,6,      2-1,1
17,Bournemouth,Manchester Utd,Away,3,0,1.6,2.2,Manchester Utd,Bournemouth,0,3,2.2,1.6,      0-3,Win,3,3,Win,3,1.4,28,40,-6.8,-12,33.8,22.4,11.399999999999999,5,      0-3,0
18,Bournemouth,Crystal Palace,Home,0,0,1.4,0.4,Bournemouth,Crystal Palace,0,0,1.4,0.4,      0-0,Draw,1,1,Win,3,-1.4,29,43,-8.2,-14,35.2,22.8,12.400000000000002,6,      1-0,1
19,Bournemouth,Fulham,Away,2,2,2,1.1,Fulham,Bournemouth,2,2,1.1,2,      2-2,Draw,1,2,Draw,1,0,30,44,-8.2,-14,37.2,23.9,13.300000000000004,7,      2-2,0
20,Bournemouth,Everton,Home,1,0,1.8,0.7,Bournemouth,Everton,1,0,1.8,0.7,      1-0,Win,3,2,Win,3,-0.8,33,47,-9,-14,39,24.6,14.399999999999999,7,      2-0,0
21,Bournemouth,Chelsea,Away,2,2,1.2,2.5,Chelsea,Bournemouth,2,2,2.5,1.2,      2-2,Draw,1,2,Draw,1,0.8,34,48,-8.2,-14,40.2,27.1,13.100000000000001,8,      2-2,0
22,Bournemouth,Newcastle Utd,Away,4,1,2,0.8,Newcastle Utd,Bournemouth,1,4,0.8,2,      1-4,Win,3,4,Win,3,2,37,51,-6.2,-14,42.2,27.900000000000002,14.3,7,      1-4,0
23,Bournemouth,Forest,Home,5,0,1.7,1,Bournemouth,Forest,5,0,1.7,1,      5-0,Win,3,5,Win,3,3.3,40,54,-2.9,-14,43.9,28.900000000000002,14.999999999999996,7,      5-0,0
24,Bournemouth,Liverpool,Home,0,2,1.6,2.5,Bournemouth,Liverpool,0,2,1.6,2.5,      0-2,Loss,0,2,Draw,1,-1.6,40,55,-4.5,-15,45.5,31.4,14.100000000000001,7,      2-2,1
25,Bournemouth,Southampton,Away,3,1,1.2,0.8,Southampton,Bournemouth,1,3,0.8,1.2,      1-3,Win,3,3,Win,3,1.8,43,58,-2.7,-15,46.7,32.2,14.5,5,      1-3,0
26,Bournemouth,Wolves,Home,0,1,0.9,2,Bournemouth,Wolves,0,1,0.9,2,      0-1,Loss,0,1,Draw,1,-0.9,43,59,-3.6,-16,47.6,34.2,13.399999999999999,6,      1-1,1
27,Bournemouth,Brighton,Away,1,2,1.5,2.4,Brighton,Bournemouth,2,1,2.4,1.5,      2-1,Loss,0,2,Draw,1,-0.5,43,60,-4.1,-17,49.1,36.6,12.5,7,      2-2,1
28,Bournemouth,Tottenham,Away,2,2,2.2,1.5,Tottenham,Bournemouth,2,2,1.5,2.2,      2-2,Draw,1,2,Draw,1,-0.2,44,61,-4.3,-17,51.3,38.1,13.199999999999996,8,      2-2,0
29,Bournemouth,Brentford,Home,1,2,1.6,0.8,Bournemouth,Brentford,1,2,1.6,0.8,      1-2,Loss,0,2,Draw,1,-0.6,44,62,-4.9,-18,52.9,38.9,14,10,      2-2,1
30,Bournemouth,Ipswich Town,Home,1,2,1.8,1.2,Bournemouth,Ipswich Town,1,2,1.8,1.2,      1-2,Loss,0,2,Draw,1,-0.8,44,63,-5.7,-19,54.7,40.1,14.600000000000001,10,      2-2,1
31,Bournemouth,West Ham,Away,2,2,2.1,0.7,West Ham,Bournemouth,2,2,0.7,2.1,      2-2,Draw,1,2,Draw,1,-0.1,45,64,-5.8,-19,56.8,40.8,16,10,      2-2,0
32,Bournemouth,Fulham,Home,1,0,1.4,1,Bournemouth,Fulham,1,0,1.4,1,      1-0,Win,3,1,Win,3,-0.4,48,67,-6.2,-19,58.2,41.8,16.400000000000006,8,      1-0,0
33,Bournemouth,Crystal Palace,Away,0,0,0.7,0.4,Crystal Palace,Bournemouth,0,0,0.4,0.7,      0-0,Draw,1,1,Win,3,-0.7,49,70,-6.9,-21,58.9,42.2,16.699999999999996,8,      0-1,1
34,Bournemouth,Manchester Utd,Home,1,1,0.5,2.3,Bournemouth,Manchester Utd,1,1,0.5,2.3,      1-1,Draw,1,1,Draw,1,0.5,50,71,-6.4,-21,59.4,44.5,14.899999999999999,10,      1-1,0
35,Bournemouth,Arsenal,Away,2,1,0.9,1.4,Arsenal,Bournemouth,1,2,1.4,0.9,      1-2,Win,3,2,Win,3,1.1,53,74,-5.3,-21,60.3,45.9,14.399999999999999,8,      1-2,0
36,Bournemouth,Aston Villa,Home,0,1,0.8,1,Bournemouth,Aston Villa,0,1,0.8,1,      0-1,Loss,0,1,Draw,1,-0.8,53,75,-6.1,-22,61.1,46.9,14.200000000000003,10,      1-1,1
37,Bournemouth,Manchester City,Away,1,3,1.1,1.5,Manchester City,Bournemouth,3,1,1.5,1.1,      3-1,Loss,0,1,Loss,0,-0.1,53,75,-6.2,-22,62.2,48.4,13.800000000000004,11,      3-1,0
38,Bournemouth,Leicester City,Home,2,0,1.6,0.3,Bournemouth,Leicester City,2,0,1.6,0.3,      2-0,Win,3,2,Win,3,0.3999999999999999,56,78,-5.8,-22,63.8,48.7,15.099999999999994,9,      2-0,0
1,Brentford,Crystal Palace,Home,2,1,1.6,1.2,Brentford,Crystal Palace,2,1,1.6,1.2,      2-1,Win,3,2,Win,3,0.3999999999999999,3,3,0.3999999999999999,0,1.6,1.2,0.40000000000000013,5,      2-1,0
2,Brentford,Liverpool,Away,0,2,0.5,2.5,Liverpool,Brentford,2,0,2.5,0.5,      2-0,Loss,0,1,Loss,0,-0.5,3,3,-0.1,0,2.1,3.7,-1.6,12,      2-1,0
3,Brentford,Southampton,Home,3,1,2.8,1.5,Brentford,Southampton,3,1,2.8,1.5,      3-1,Win,3,3,Win,3,0.20000000000000018,6,6,0.10000000000000009,0,4.9,5.2,-0.3,6,      3-1,0
4,Brentford,Manchester City,Away,1,2,1,2.1,Manchester City,Brentford,2,1,2.1,1,      2-1,Loss,0,1,Loss,0,0,6,6,0.10000000000000009,0,5.9,7.300000000000001,-1.4,9,      2-1,0
5,Brentford,Tottenham,Away,1,3,0.8,3.5,Tottenham,Brentford,3,1,3.5,0.8,      3-1,Loss,0,1,Loss,0,0.19999999999999996,6,6,0.30000000000000004,0,6.7,10.8,-4.1,12,      3-1,0
6,Brentford,West Ham,Home,1,1,0.4,1,Brentford,West Ham,1,1,0.4,1,      1-1,Draw,1,1,Draw,1,0.6,7,7,0.9,0,7.1,11.8,-4.7,12,      1-1,0
7,Brentford,Wolves,Home,5,3,4.2,1,Brentford,Wolves,5,3,4.2,1,      5-3,Win,3,5,Win,3,0.7999999999999998,10,10,1.6999999999999997,0,11.3,12.8,-1.5,11,      5-3,0
8,Brentford,Manchester Utd,Away,1,2,0.9,1.3,Manchester Utd,Brentford,2,1,1.3,0.9,      2-1,Loss,0,1,Loss,0,0.1,10,10,1.7999999999999998,0,12.2,14.1,-1.9,13,      2-1,0
9,Brentford,Ipswich Town,Home,4,3,4,1.3,Brentford,Ipswich Town,4,3,4,1.3,      4-3,Win,3,4,Win,3,0,13,13,1.7999999999999998,0,16.2,15.4,0.7999999999999989,9,      4-3,0
